Site_ID,eNodeB_CI,quadkey20,Site_Sector,Site_Sector3_Type,geometry
LSK024,70024_12,70024_12,LSK024_1,LSK024_1_M,"POLYGON ((100.20719 -0.08157, 100.208203 -0.081939, 100.208146 -0.082068, 100.208073 -0.082188, 100.207985 -0.082298, 100.207883 -0.082396, 100.20719 -0.08157))"
LSK086,70086_12,70086_12,LSK086_1,LSK086_1_M,"POLYGON ((100.06581 0.49756, 100.066089 0.498601, 100.066223 0.498556, 100.066349 0.498494, 100.066466 0.498415, 100.066572 0.498322, 100.06581 0.49756))"
MSJ013,682013_12,682013_12,MSJ013_1,MSJ013_1_M,"POLYGON ((101.63494 -1.05335, 101.635981 -1.053629, 101.635936 -1.053763, 101.635874 -1.053889, 101.635795 -1.054006, 101.635702 -1.054112, 101.63494 -1.05335))"
MSJ073,682073_12,682073_12,MSJ073_1,MSJ073_1_M,"POLYGON ((101.8763 -1.15955, 101.876918 -1.158667, 101.877028 -1.158755, 101.877126 -1.158857, 101.877209 -1.158971, 101.877277 -1.159094, 101.8763 -1.15955))"
MSJ265,73265_12,73265_12,MSJ265_1,MSJ265_1_M,"POLYGON ((101.33033 -0.87778, 101.331404 -0.877686, 101.331407 -0.877827, 101.331392 -0.877967, 101.331358 -0.878104, 101.331307 -0.878236, 101.33033 -0.87778))"
PAD161,67161_12,67161_12,PAD161_1,PAD161_1_M,"POLYGON ((100.40216 -0.93537, 100.402066 -0.934296, 100.402207 -0.934293, 100.402347 -0.934308, 100.402484 -0.934342, 100.402616 -0.934393, 100.40216 -0.93537))"
PAD548,67548_12,67548_12,PAD548_1,PAD548_1_M,"POLYGON ((100.35959 -0.9844, 100.359311 -0.983359, 100.359449 -0.983331, 100.35959 -0.983322, 100.359731 -0.983331, 100.359869 -0.983359, 100.35959 -0.9844))"
PAR001,69001_12,69001_12,PAR001_1,PAR001_1_M,"POLYGON ((100.2859 -0.68459, 100.285621 -0.683549, 100.285759 -0.683521, 100.2859 -0.683512, 100.286041 -0.683521, 100.286179 -0.683549, 100.2859 -0.68459))"
PAY089,71089_12,71089_12,PAY089_1,PAY089_1_M,"POLYGON ((100.54927 -0.24259, 100.550204 -0.242051, 100.550266 -0.242177, 100.550311 -0.242311, 100.550339 -0.242449, 100.550348 -0.24259, 100.54927 -0.24259))"
SLK551,75551_12,75551_12,SLK551_1,SLK551_1_M,"POLYGON ((101.48637 -1.44151, 101.486649 -1.440469, 101.486783 -1.440514, 101.486909 -1.440576, 101.487026 -1.440655, 101.487132 -1.440748, 101.48637 -1.44151))"
